CalYear,FinYear,TypeOfIncident,PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode,PumpCount,PumpMinutesRounded,Notional Cost (£)
2016,2015/16,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014078,Eltham Park & Progress,E09000011,GREENWICH,Eltham,SE9,1,60,298
2010,2010/11,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013696,Winchmore Hill,E09000010,Enfield,Southgate,N21,2,116,503
2017,2017/18,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013645,Mill Hill,E09000003,BARNET,Mill Hill,NW7,1,60,328
2022,2022/23,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013709,MILDMAY,E09000019,ISLINGTON,Islington,N1,1,60,364
2020,2019/20,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013752,White City,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W12,2,182,1028
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014078,ELTHAM PARK & PROGRESS,E09000011,GREENWICH,Eltham,SE9,1,60,364
2012,2011/12,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013693,Town,E09000010,Enfield,Enfield,EN2,1,60,260
2017,2016/17,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013817,Lavender Fields,E09000024,MERTON,Mitcham,CR4,1,60,326
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014013,FURZEDOWN,E09000032,WANDSWORTH,Tooting,SW16,1,73,443
2017,2016/17,Special Service,Road surface/pavement ,Outdoor,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,E05014098,Brixton Windrush,E09000022,LAMBETH,Brixton,SW9,1,60,326
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014097,BRIXTON RUSH COMMON,E09000022,LAMBETH,West Norwood,SW2,2,114,737
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013985,Squirrel's Heath,E09000016,HAVERING,Hornchurch,RM2,1,60,352
2010,2010/11,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05009370,Dalston,E09000012,Hackney,Homerton,E8,1,60,260
2022,2022/23,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014073,BLACKHEATH WESTCOMBE,E09000011,GREENWICH,East Greenwich,SE3,1,60,364
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013763,SOUTH BEDDINGTON & ROUNDSHAW,E09000029,SUTTON,Wallington,SM6,1,60,388
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05011470,NEW ADDINGTON NORTH,E09000008,CROYDON,Addington,CR0,2,82,530
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013567,EASTCOTE,E09000017,HILLINGDON,Northolt,HA4,1,60,388
2020,2019/20,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009380,LEA BRIDGE,E09000012,HACKNEY,Homerton,E5,2,60,339
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013566,Colham & Cowley,E09000017,HILLINGDON,Hillingdon,UB8,1,60,346
2019,2019/20,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013721,Evelyn,E09000023,LEWISHAM,Deptford,SE16,1,77,435
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013654,CAMDEN SQUARE,E09000007,CAMDEN,Kentish Town,NW1,1,60,388
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013654,Camden Square,E09000007,CAMDEN,Kentish Town,NW1,1,103,604
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013627,SYON & BRENTFORD LOCK,E09000018,HOUNSLOW,Heston,TW7,1,60,430
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013549,HATCH END,E09000015,HARROW,Harrow,HA5,1,79,511
2023,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013707,JUNCTION,E09000019,ISLINGTON,Kentish Town,N19,1,60,388
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013685,LOWER EDMONTON,E09000010,ENFIELD,Edmonton,N9,2,79,566
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011471,NEW ADDINGTON SOUTH,E09000008,CROYDON,Addington,CR0,2,156,1009
2017,2016/17,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013587,Bruce Castle,E09000014,HARINGEY,Tottenham,N17,1,60,326
2021,2021/22,Special Service,Licensed House in Multiple Occupation - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013517,Willesden Green,E09000005,BRENT,Willesden,NW10,1,64,375
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,No action (not false alarm),Service not required,E05013800,MAIDA VALE,E09000033,WESTMINSTER,Paddington,NW6,1,60,388
2013,2013/14,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013541,Walpole,E09000009,Ealing,Ealing,W13,1,60,290
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011096,CAMBERWELL GREEN,E09000028,SOUTHWARK,Peckham,SE5,1,60,430
2024,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014027,WANDSWORTH COMMON,E09000032,WANDSWORTH,Tooting,SW18,1,60,388
2014,2014/15,Special Service,Human harm outdoors,Outdoor,1,Assist other agencies,Other assistance to police/ambulance,E05013996,Darwin,E09000006,Bromley,Biggin Hill,BR6,1,72,354
2015,2015/16,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014001,Orpington,E09000006,BROMLEY,Orpington,BR6,2,87,432
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014019,SHAFTESBURY & QUEENSTOWN,E09000032,WANDSWORTH,Battersea,SW11,1,60,364
2016,2016/17,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013821,Pollards Hill,E09000024,MERTON,Norbury,CR4,2,458,2488
2024,2024/25,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013737,CONINGHAM,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W12,1,111,796
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013597,ST. ANN'S,E09000014,HARINGEY,Tottenham,N15,1,60,430
2020,2019/20,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013820,Merton Park,E09000024,MERTON,Wimbledon,SW19,1,60,339
2016,2016/17,Special Service,Car ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,E05013815,Graveney,E09000024,MERTON,Mitcham,CR4,2,60,326
2022,2022/23,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Medical Incident,Medical incident - No action required by Brigade,E05013795,HARROW ROAD,E09000033,WESTMINSTER,North Kensington,W9,1,60,364
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013718,CROFTON PARK,E09000023,LEWISHAM,Forest Hill,SE4,2,63,407
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05009399,NOTTING DALE,E09000020,KENSINGTON AND CHELSEA,North Kensington,W11,1,60,388
2015,2015/16,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013698,Barnsbury,E09000019,Islington,Islington,N1,2,97,482
2020,2019/20,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013671,West Hampstead,E09000007,CAMDEN,West Hampstead,NW6,1,71,401
2014,2014/15,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013740,Grove,E09000013,Hammersmith and Fulham,Hammersmith,W6,1,60,295
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011485,SOUTH NORWOOD,E09000008,CROYDON,Woodside,SE25,1,60,388
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013815,Graveney,E09000024,MERTON,Mitcham,CR4,2,136,798
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013497,BARNHILL,E09000005,BRENT,Wembley,HA9,1,62,401
2021,2021/22,Special Service,Bungalow - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011219,BEXLEYHEATH,E09000004,BEXLEY,Bexley,DA7,1,67,393
2022,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of person - Other action,E05013749,Walham Green,E09000013,HAMMERSMITH AND FULHAM,Fulham,SW6,1,60,352
2018,2018/19,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014020,South Balham,E09000032,WANDSWORTH,Tooting,SW17,2,89,494
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013731,Sydenham,E09000023,LEWISHAM,Forest Hill,SE26,2,92,558
2019,2018/19,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013700,Caledonian,E09000019,ISLINGTON,Islington,N1,1,60,333
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011108,NUNHEAD & QUEEN'S ROAD,E09000028,SOUTHWARK,New Cross,SE15,1,114,669
2012,2012/13,Special Service,House - single occupancy ,Dwelling,1,Other rescue/release of persons,Rescue/Release of person - Other action,E05013571,Hillingdon East,E09000017,Hillingdon,Hillingdon,UB10,1,148,641
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013741,HAMMERSMITH BROADWAY,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W6,2,116,831
2009,2009/10,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013541,Walpole,E09000009,Ealing,Ealing,W13,1,60,260
2022,2022/23,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011485,SOUTH NORWOOD,E09000008,CROYDON,Woodside,SE25,1,60,364
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011106,NORTH BERMONDSEY,E09000028,SOUTHWARK,Dockhead,SE16,1,67,433
2023,2023/24,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013737,CONINGHAM,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W12,1,91,588
2024,2024/25,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013637,EDGWARE,E09000003,BARNET,Mill Hill,HA8,1,60,430
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013586,Bounds Green,E09000014,HARINGEY,Southgate,N11,1,60,352
2021,2020/21,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013649,West Hendon,E09000003,BARNET,Hendon,NW4,1,60,346
2022,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014018,St. Mary's,E09000032,WANDSWORTH,Battersea,SW11,1,122,716
2019,2019/20,Special Service,Train station - concourse ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013603,West Green,E09000014,HARINGEY,Hornsey,N15,1,60,339
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013803,Pimlico South,E09000033,WESTMINSTER,Chelsea,SW1V,1,87,510
2018,2018/19,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013733,Addison,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W14,1,60,333
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013724,HITHER GREEN,E09000023,LEWISHAM,Lee Green,SE6,1,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013701,CANONBURY,E09000019,ISLINGTON,Islington,N1,1,60,388
2022,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011476,PURLEY & WOODCOTE,E09000008,CROYDON,Purley,CR8,1,71,417
2022,2022/23,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011471,NEW ADDINGTON SOUTH,E09000008,CROYDON,Addington,CR0,1,60,364
2017,2017/18,Special Service,Fence,Outdoor Structure,1,Assist other agencies,Assist ambulance with over weight person,E05013695,Whitewebbs,E09000010,ENFIELD,Enfield,EN2,1,60,328
2009,2009/10,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013791,Whitton,E09000027,Richmond upon Thames,Heston,TW2,1,64,277
2022,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013500,Dollis Hill,E09000005,BRENT,Willesden,NW2,1,60,352
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011479,SELHURST,E09000008,CROYDON,Croydon,CR0,2,63,452
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014110,STOCKWELL EAST,E09000022,LAMBETH,Brixton,SW9,1,60,388
2022,2021/22,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013569,Hayes Town,E09000017,HILLINGDON,Hayes,UB3,1,107,628
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011474,OLD COULSDON,E09000008,CROYDON,Purley,CR5,1,60,388
2016,2016/17,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Advice Only,Advice given only,E05014007,St. Paul's Cray,E09000006,BROMLEY,Orpington,BR5,1,60,326
2013,2013/14,Special Service,Car ,Road Vehicle,1,Effecting entry/exit,Effecting entry - Other action,E05013661,Highgate,E09000007,Camden,Kentish Town,N19,2,60,290
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013723,GROVE PARK,E09000023,LEWISHAM,Lee Green,SE12,1,60,364
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013548,HARROW WEALD,E09000015,HARROW,Harrow,HA3,1,60,364
2018,2018/19,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014096,Brixton North,E09000022,LAMBETH,Brixton,SW9,1,92,511
2019,2019/20,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011489,WOODSIDE,E09000008,CROYDON,Woodside,CR0,1,60,339
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013936,KING GEORGE'S & SUNRAY,E09000021,KINGSTON UPON THAMES,Surbiton,KT5,1,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014075,CHARLTON VILLAGE & RIVERSIDE,E09000011,GREENWICH,East Greenwich,SE7,1,60,388
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,E05013500,DOLLIS HILL,E09000005,BRENT,Willesden,NW2,2,308,1992
2024,2024/25,Special Service,Hotel/motel ,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013740,GROVE,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W6,1,60,430
2018,2017/18,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,Unknown,Unknown,Unknown,Unknown,Essex,IG9,2,60,328
2020,2020/21,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013980,Rush Green & Crowlands,E09000016,HAVERING,Romford,RM7,1,60,346
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013804,QUEEN'S PARK,E09000033,WESTMINSTER,North Kensington,W10,1,271,1942
2022,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013598,Seven Sisters,E09000014,HARINGEY,Tottenham,N15,2,98,575
2021,2021/22,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Other assistance to police/ambulance,E05009323,Canary Wharf,E09000030,TOWER HAMLETS,Poplar,E14,1,82,481
2021,2021/22,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013892,Higham Hill,E09000031,WALTHAM FOREST,Walthamstow,E17,1,60,352
2022,2022/23,Special Service,Bungalow - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013769,THE WRYTHE,E09000029,SUTTON,Wallington,SM5,1,60,364
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013769,THE WRYTHE,E09000029,SUTTON,Wallington,SM1,1,60,430
2020,2020/21,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05013722,Forest Hill,E09000023,LEWISHAM,Forest Hill,SE23,2,136,784
2022,2021/22,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011115,ST. GILES,E09000028,SOUTHWARK,Peckham,SE5,1,60,352
2022,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05014013,FURZEDOWN,E09000032,WANDSWORTH,Tooting,SW16,2,623,3780
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013815,Graveney,E09000024,MERTON,Mitcham,CR4,1,60,352
2019,2019/20,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011479,SELHURST,E09000008,CROYDON,Croydon,SE25,1,93,525
2023,2023/24,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013656,FORTUNE GREEN,E09000007,CAMDEN,West Hampstead,NW2,1,60,388
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013740,Grove,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W6,1,60,352
2016,2016/17,Special Service,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,E05014020,South Balham,E09000032,WANDSWORTH,Tooting,SW17,1,60,326
2020,2020/21,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011466,COULSDON TOWN,E09000008,CROYDON,Purley,CR5,1,60,346
2016,2016/17,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011467,Crystal Palace & Upper Norwood,E09000008,CROYDON,Woodside,SE19,1,60,326
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013911,FOREST GATE NORTH,E09000025,NEWHAM,Stratford,E7,1,60,388
2013,2013/14,Special Service,Fire station ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,E05009328,Poplar,E09000030,Tower Hamlets,Poplar,E14,1,60,290
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013987,BECKENHAM TOWN & COPERS COPE,E09000006,BROMLEY,Beckenham,BR3,2,196,1405
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013647,UNDERHILL,E09000003,BARNET,Barnet,EN5,1,60,430
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013527,NORTH ACTON,E09000009,EALING,Acton,W3,2,123,795
2023,2022/23,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013536,SOUTH ACTON,E09000009,EALING,Acton,W3,3,1427,8657
2023,2022/23,Special Service,Self contained Sheltered Housing ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013593,HORNSEY,E09000014,HARINGEY,Hornsey,N8,1,60,364
2022,2022/23,Special Service,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013517,WILLESDEN GREEN,E09000005,BRENT,Willesden,NW2,2,84,510
2024,2024/25,Special Service,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011112,ROTHERHITHE,E09000028,SOUTHWARK,Deptford,SE16,1,60,430
2018,2018/19,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014072,Abbey Wood,E09000011,GREENWICH,Plumstead,SE2,2,60,333
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,E05013631,CHILDS HILL,E09000003,BARNET,West Hampstead,NW11,1,60,388
2024,2023/24,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013693,TOWN,E09000010,ENFIELD,Enfield,EN2,1,145,938
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013659,HAMPSTEAD TOWN,E09000007,CAMDEN,West Hampstead,NW3,1,60,388
2014,2013/14,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Chest Pain / Cardiac Arrest / Heart condition ,E05013971,Gooshays,E09000016,Havering,Harold Hill,RM3,1,60,290
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011481,SELSDON VALE & FORESTDALE,E09000008,CROYDON,Addington,CR0,1,61,370
2023,2022/23,Special Service,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014022,THAMESFIELD,E09000032,WANDSWORTH,Wandsworth,SW15,1,60,364
2018,2018/19,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011230,SIDCUP,E09000004,BEXLEY,Sidcup,DA14,3,338,1876
2023,2023/24,Special Service,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05009377,HOXTON EAST & SHOREDITCH,E09000012,HACKNEY,Shoreditch,N1,1,141,912
2024,2024/25,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013536,SOUTH ACTON,E09000009,EALING,Acton,W3,1,60,430
2023,2022/23,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05011233,WEST HEATH,E09000004,BEXLEY,Bexley,DA16,1,60,364
2012,2011/12,Special Service,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,E05013907,Canning Town South,E09000025,Newham,Plaistow,E16,1,91,394
2022,2022/23,Special Service,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,E05011230,SIDCUP,E09000004,BEXLEY,Sidcup,DA15,1,60,364
2022,2022/23,Special Service,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,E05011230,SIDCUP,E09000004,BEXLEY,Sidcup,DA14,1,60,364
2014,2014/15,Special Service,Bus/coach ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,E05013641,Garden Suburb,E09000003,Barnet,Finchley,NW11,1,66,325
2021,2021/22,Special Service,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05014012,Falconbrook,E09000032,WANDSWORTH,Battersea,SW11,1,60,352
2022,2022/23,Special Service,Passenger plane ,Aircraft,1,Stand By,Stand by - Aircraft landing,E05013570,HEATHROW VILLAGES,E09000017,HILLINGDON,Heathrow,TW6,3,66,400
2014,2014/15,Special Service,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,E05013985,Squirrel's Heath,E09000016,Havering,Hornchurch,RM11,1,60,295
2023,2023/24,Special Service,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,E05013573,ICKENHAM & SOUTH HAREFIELD,E09000017,HILLINGDON,Ruislip,UB9,1,129,834
